"hole_id";"depth";"azimuth";"dip"
"LBU_98_1";46.00;0.00;-90.00
"LBU_98_2";45.00;0.00;-90.00
"LBU_98_3";;0.00;-90.00
"LBU_98_4";41.00;0.00;-90.00
"LBU_98_5";40.00;0.00;-90.00
"LBU_98_6";45.00;0.00;-90.00
"LBU_98_7";39.00;0.00;-90.00
"LBU_01_1";44.00;0.00;-90.00
"LBU_01_2";35.00;0.00;-90.00
"LBU_01_3";35.00;0.00;-90.00
"LBU_02_1";41.00;0.00;-90.00
"LBU_02_2";41.00;0.00;-90.00
"LBU_02_3";41.00;0.00;-90.00
"LBU_02_4";41.00;0.00;-90.00
"LBU_03_01";32.00;0.00;-90.00
"LBU_03_02";31.00;0.00;-90.00
"LBU_05_01";64.00;0.00;-90.00
"LBU_05_02";50.00;0.00;-90.00
"LBU_05_03";50.00;0.00;-90.00
"LBU_05_04";50.00;0.00;-90.00
"LBU_05_05";50.00;0.00;-90.00
"LBU_05_06";50.00;0.00;-90.00
"LBU_05_07";50.00;0.00;-90.00
"LBU_05_08";50.00;0.00;-90.00
"LBU_05_09";50.00;0.00;-90.00
"LBU_05_10";53.00;0.00;-90.00
"LBU_05_11";50.00;0.00;-90.00
"LBU_05_12";50.00;0.00;-90.00
"LBU_05_13";50.00;0.00;-90.00
"LBU_05_14";50.00;0.00;-90.00
"LBU_05_15";50.00;0.00;-90.00
"LBU_05_16";50.00;0.00;-90.00
"LBU_05_17";42.00;0.00;-90.00
"LBU_05_18";50.00;0.00;-90.00
"LBU_05_19";56.00;0.00;-90.00
"LBU_05_20";50.00;0.00;-90.00
"LBU_05_21";50.00;0.00;-90.00
"LBU_05_22";50.00;0.00;-90.00
"LBU_05_23";50.00;0.00;-90.00
"LBU_05_24";50.00;0.00;-90.00
"LBU_05_25";54.00;0.00;-90.00
"LBU_05_26";50.00;0.00;-90.00
"LBU_05_27";50.00;0.00;-90.00
"LBU_05_28";50.00;0.00;-90.00
"LBU_05_29";50.00;0.00;-90.00
"LBU_05_30";50.00;0.00;-90.00
"LBU_07_01";45.00;0.00;-90.00
"LBU_07_02";45.00;0.00;-90.00
"LBU_07_03";45.00;0.00;-90.00
"LBU_81_1";50.00;0.00;-90.00
"LBU_81_2";45.00;0.00;-90.00
"LBU_81_3";50.00;0.00;-90.00
"LBU_81_5";50.00;0.00;-90.00
"LBU_81_6";50.00;0.00;-90.00
"LBU_87_1";50.00;0.00;-90.00
"LBU_87_2";50.00;0.00;-90.00
"LBU_87_3";50.00;0.00;-90.00
"LBU_87_4";50.00;0.00;-90.00
"LBU_87_5";50.00;0.00;-90.00
"LBU_87_6";50.00;0.00;-90.00
"LBU_87_7";50.00;0.00;-90.00
"LBU_87_8";35.00;0.00;-90.00
"LBU_96_1";37.00;0.00;-90.00
"LBU_96_2";40.60;0.00;-90.00
"LBU_96_3";41.00;0.00;-90.00
"LBU_96_4";41.00;0.00;-90.00
"MHZ_08_01";30.00;0.00;-90.00
"MHZ_08_02";33.00;0.00;-90.00
"MHZ_08_03";30.00;0.00;-90.00
"MHZ_08_04";30.00;0.00;-90.00
"MHZ_08_05";29.00;0.00;-90.00
"MHZ_12_01";35.00;0.00;-90.00
"MHZ_12_02";35.00;0.00;-90.00
"MHZ_12_03";35.00;0.00;-90.00
"MHZ_12_04";35.00;0.00;-90.00
"MHZ_16_01";35.00;0.00;-90.00
"MHZ_16_02";35.00;0.00;-90.00
"MHZ_16_03";35.00;0.00;-90.00
"MHZ_16_04";35.00;0.00;-90.00
"MHZ_16_05";35.00;0.00;-90.00
"MHZ_16_06";35.00;0.00;-90.00
"MHZ_16_07";35.00;0.00;-90.00
"MHZ_16_08";35.00;0.00;-90.00
